c,h,l,n,o,t,v,vw
9.89,9.91,9.87,85,9.91,2021-12-10T05:00:00Z,458647,9.908346
9.9,9.9,9.9,5,9.9,2021-12-13T05:00:00Z,1007,9.899821
9.87,9.88,9.81,174,9.83,2021-12-14T05:00:00Z,77486,9.871122
9.9,9.94,9.82,18,9.88,2021-12-15T05:00:00Z,253052,9.880053
9.89,9.93,9.88,289,9.93,2021-12-16T05:00:00Z,74821,9.890012
9.89,9.89,9.87,165,9.89,2021-12-17T05:00:00Z,79847,9.871015
9.92,9.93,9.88,306,9.89,2021-12-20T05:00:00Z,339417,9.915824
9.89,9.89,9.89,9,9.89,2021-12-21T05:00:00Z,433,9.891478
9.89,9.89,9.89,0,9.89,2021-12-22T05:00:00Z,0,0.0
9.89,9.95,9.89,62,9.9,2021-12-23T05:00:00Z,41114,9.920664
9.91,9.91,9.85,36,9.88,2021-12-27T05:00:00Z,30929,9.878357
9.91,9.91,9.88,8,9.88,2021-12-28T05:00:00Z,659,9.896273
9.91,9.91,9.91,0,9.91,2021-12-29T05:00:00Z,0,0.0
9.91,9.91,9.91,0,9.91,2021-12-30T05:00:00Z,0,0.0
9.91,9.91,9.89,15,9.91,2021-12-31T05:00:00Z,3032,9.903272
9.9,9.91,9.89,131,9.9,2022-01-03T05:00:00Z,64218,9.900042
9.9,9.9,9.89,308,9.9,2022-01-04T05:00:00Z,100199,9.899982
9.91,9.92,9.89,76,9.89,2022-01-05T05:00:00Z,110490,9.901141
9.93,9.93,9.89,65,9.89,2022-01-06T05:00:00Z,654610,9.929842
9.92,9.93,9.92,467,9.92,2022-01-07T05:00:00Z,286167,9.920099
9.92,9.95,9.92,121,9.95,2022-01-10T05:00:00Z,63041,9.930048
9.9,9.93,9.9,15,9.93,2022-01-11T05:00:00Z,25228,9.929586
9.91,9.92,9.91,164,9.92,2022-01-12T05:00:00Z,342903,9.919946
9.91,9.91,9.91,93,9.91,2022-01-13T05:00:00Z,1250,9.919254
9.91,9.92,9.91,673,9.92,2022-01-14T05:00:00Z,201493,9.910466
9.9,9.92,9.9,98,9.92,2022-01-18T05:00:00Z,101482,9.919837
9.9,9.9,9.9,94,9.9,2022-01-19T05:00:00Z,6963,9.901533
9.91,9.91,9.91,33,9.91,2022-01-20T05:00:00Z,11340,9.910071
9.9,9.91,9.9,162,9.9,2022-01-21T05:00:00Z,63696,9.900226
9.91,9.91,9.9,404,9.9,2022-01-24T05:00:00Z,90394,9.900776
9.88,9.92,9.88,69,9.9,2022-01-25T05:00:00Z,48587,9.90762
9.9,9.92,9.9,120,9.9,2022-01-26T05:00:00Z,150978,9.900313
9.9,9.91,9.88,15,9.9,2022-01-27T05:00:00Z,101553,9.899341
9.9111,9.9111,9.9111,5,9.9111,2022-01-28T05:00:00Z,388,9.908686
9.88,9.88,9.87,58,9.87,2022-01-31T05:00:00Z,2030,9.888
9.915,9.97,9.89,96,9.9,2022-02-01T05:00:00Z,46419,9.953116
9.9527,9.9527,9.94,16,9.94,2022-02-02T05:00:00Z,637,9.939623
9.9527,9.9527,9.9527,0,9.9527,2022-02-03T05:00:00Z,0,0.0
9.9527,9.9527,9.9527,0,9.9527,2022-02-04T05:00:00Z,0,0.0
9.9527,9.9527,9.9527,0,9.9527,2022-02-07T05:00:00Z,0,0.0
9.92,9.92,9.92,5,9.92,2022-02-08T05:00:00Z,5129,9.919774
9.89,9.91,9.89,122,9.91,2022-02-09T05:00:00Z,14110,9.89682
9.89,9.89,9.89,0,9.89,2022-02-10T05:00:00Z,0,0.0
9.93,9.99,9.9,73,9.95,2022-02-11T05:00:00Z,56632,9.979415
9.91,9.96,9.91,12,9.96,2022-02-14T05:00:00Z,506,9.938084
9.93,9.93,9.92,32,9.92,2022-02-15T05:00:00Z,28344,9.922519
9.92,9.92,9.92,10,9.92,2022-02-16T05:00:00Z,260,9.9189
9.95,9.95,9.9,59,9.9,2022-02-17T05:00:00Z,7315,9.931958
9.9699,10.12,9.955,11,10.12,2022-02-18T05:00:00Z,581,10.012452
9.925,9.9416,9.909,21,9.909,2022-02-22T05:00:00Z,614,10.075797
9.92,9.96,9.92,13,9.96,2022-02-23T05:00:00Z,1411,9.946347
9.9149,9.94,9.9149,4,9.94,2022-02-24T05:00:00Z,2502,9.934989
9.95,9.96,9.91,29,9.96,2022-02-25T05:00:00Z,3223,9.924092
9.93,9.94,9.91,313,9.93,2022-02-28T05:00:00Z,94499,9.924435
9.95,9.97,9.94,18,9.97,2022-03-01T05:00:00Z,4141,9.948362
9.95,9.97,9.95,8,9.97,2022-03-02T05:00:00Z,5404,9.952186
9.95,9.95,9.95,4,9.95,2022-03-03T05:00:00Z,5855,9.950005
9.96,9.98,9.96,51,9.97,2022-03-04T05:00:00Z,18691,9.972224
9.98,9.98,9.96,39,9.98,2022-03-07T05:00:00Z,409705,9.96993
9.98,9.98,9.98,0,9.98,2022-03-08T05:00:00Z,0,0.0
9.98,9.98,9.98,0,9.98,2022-03-09T05:00:00Z,0,0.0
9.96,9.96,9.96,17,9.96,2022-03-10T05:00:00Z,5853,9.96
9.97,9.97,9.94,38,9.94,2022-03-11T05:00:00Z,22797,9.959978
9.97,9.97,9.97,0,9.97,2022-03-14T04:00:00Z,0,0.0
9.97,9.97,9.97,0,9.97,2022-03-15T04:00:00Z,0,0.0
9.97,9.97,9.935,130,9.935,2022-03-16T04:00:00Z,64715,9.969941
9.97,9.97,9.97,0,9.97,2022-03-17T04:00:00Z,0,0.0
9.96,9.97,9.94,67,9.97,2022-03-18T04:00:00Z,20774,9.961821
9.98,9.99,9.97,52,9.98,2022-03-21T04:00:00Z,6475,9.976909
9.98,9.98,9.98,27,9.98,2022-03-22T04:00:00Z,1089,9.979339
9.98,9.98,9.97,63,9.9798,2022-03-23T04:00:00Z,23522,9.979871
9.98,9.98,9.98,29,9.98,2022-03-24T04:00:00Z,4170,9.97906
9.975,9.99,9.975,76,9.99,2022-03-25T04:00:00Z,1153070,9.979989
